index,asset,window,mean,median,count
0,中证全债,event_0_to_1,0.0012447690106326514,0.00037914168762009925,10
1,中证全债,full_minus5_to_plus5,0.0059906457486163635,0.0027759930058388615,10
2,中证全债,post_1_to_5,0.00038666127195772224,0.0004778514213845675,10
3,中证全债,pre_5_to_1,0.003544745199730226,0.0009550494768285622,10
4,沪深300,event_0_to_1,0.0021635701769423753,0.004464042229428311,10
5,沪深300,full_minus5_to_plus5,0.023615212564530398,0.017896439530085684,10
6,沪深300,post_1_to_5,0.015950222106404722,0.0028241832259598976,10
7,沪深300,pre_5_to_1,-0.005520529205899627,0.004186609933486851,10
